,min_variance,utility_ra2,utility_ra10,utility_ra50,max_sharpe,risk_parity,equal_weight,buy_and_hold_equal,nifty50
2025-08-04,0.8014240190867493,-0.034246603298218214,0.8463778280304349,0.9032518198312731,0.8186899115502397,0.2780210461565626,0.044945984164954156,0.0170123371338453,0.5208932026180029
2025-08-05,0.3612550720216916,-0.18794826738409537,0.6388975683156962,0.6077425427047299,0.6242493314275637,-0.030061107253946593,-0.23624515331107296,-0.25150427522652363,0.32000657701791724
2025-08-06,0.19350366420522122,-0.1490992678085601,0.7042381552917868,0.4520969712445628,0.700060682704496,-0.15256740061759147,-0.32615713486841313,-0.32738177940362434,0.29182376765790574
2025-08-07,0.34053681813612,-0.07156262806035614,0.8115021098980687,0.5849337930735018,0.778260996085115,0.08679666954500118,-0.07109434380062485,-0.0903419181283153,0.37981538678287946
2025-08-08,0.06308720790168831,-0.27192373741418424,0.5687713857912102,0.3113025094938672,0.5391943695940782,-0.21282068797704845,-0.3802259857016335,-0.3958564715069858,0.008778352746963786
2025-08-11,0.09824452231895116,-0.42798045365455295,0.42279591463407346,0.22650250436088024,0.4204271919730705,-0.14346970182678204,-0.27546836221821525,-0.29792046350684803,0.1672505807983587
2025-08-12,0.0913441941493929,-0.44492158028702444,0.3897907716714224,0.19427210233639713,0.3969069652371618,-0.0823945378485687,-0.1934394814554184,-0.22287526921177858,0.1665300832674816
2025-08-13,0.2684891462285536,-0.3864832306627843,0.4688393664052995,0.3561643936268023,0.4693711825371965,0.06132687000328235,-0.05346236459881525,-0.08913105877059462,0.27122336386042517
2025-08-14,0.34041498401702486,-0.12046289520001618,0.6086120553279365,0.4192629298552215,0.6037951403994776,0.17276923052258325,0.0780508082582712,0.051188448606115156,0.38943787996013446
2025-08-18,0.7439619624231206,0.2582430105381662,1.0002781569348953,0.838502570157795,0.9814890965575329,0.6173493142086394,0.4823124801100574,0.46400999551369426,0.7315408796882364
2025-08-19,0.8020120619139081,0.3434730946911127,1.0665059204277456,0.9156561499467988,1.0252108605749632,0.7361436757423251,0.5993461758185191,0.5819951967127732,0.8090192587481901
2025-08-20,0.8992118918881342,0.31233331095810046,1.0300834318669452,0.9341891327119368,0.9878819400137707,0.8229628567624562,0.6847800968573493,0.6710068224974449,0.858629651876991
2025-08-21,1.0231623610701657,0.6636292651739479,1.267061856444346,1.1034651918260856,1.1966673347970251,0.9730504509296971,0.8358905663583512,0.8252929395152714,0.9442496276647148
