,min_variance,utility_ra2,utility_ra10,utility_ra50,max_sharpe,risk_parity,equal_weight,buy_and_hold_equal,nifty50
2025-04-04,-0.03032584650154635,-0.10141138925088844,-0.09580235846140595,-0.06897309699223997,-0.07300863936025892,-0.1138651569676209,-0.13346436078197965,-0.13359272561617408,-0.1263196196151899
2025-04-07,-0.04725285025446091,-0.11778519239986196,-0.11609895332270315,-0.08781119771627288,-0.09361348578236894,-0.132977797720786,-0.15421297720005056,-0.15388386579123048,-0.15465529898861763
2025-04-08,-0.038287811093291046,-0.10532664835324612,-0.10406724141640333,-0.07768626224813224,-0.08105064565127895,-0.12044744277260644,-0.1401445100935561,-0.14013276394659513,-0.14037969343983425
2025-04-09,-0.03350688404486013,-0.10066310170082626,-0.09965878436568121,-0.07379803465104928,-0.07636814900468503,-0.12183250355725506,-0.1451632370659347,-0.14498182583238406,-0.14559402644104158
2025-04-11,-0.015428660059672361,-0.08443056151173756,-0.08189361216267299,-0.056043111659024425,-0.05845988726152895,-0.10628782706742235,-0.1309365801893544,-0.13062774227350005,-0.12921473292318986
2025-04-15,-0.004467045715025986,-0.07443870839327638,-0.06946561472699664,-0.045567473388052226,-0.045845965617520745,-0.09199883985317714,-0.11387119883612373,-0.11421887346209869,-0.110142447620874
2025-04-16,0.0,-0.06616166366210086,-0.06354543326151685,-0.03964223786482235,-0.039695840887562284,-0.08927818323609005,-0.1127391103106441,-0.112856845383837,-0.10599809962557227
2025-04-17,0.0,-0.058176731374115165,-0.05422363484617709,-0.02964164573200434,-0.030172469846344696,-0.07906334092639722,-0.10162259263539075,-0.10147692890778648,-0.09018903763781405
2025-04-21,0.0,-0.04820668553172547,-0.04371042480375242,-0.02108548732614135,-0.019222714938683882,-0.06819395168609832,-0.0895548304943996,-0.0896233751031964,-0.0797412248489826
2025-04-22,0.0,-0.03529726744166395,-0.029537450793351905,-0.008966038772654228,-0.004764987070715598,-0.06228159633074415,-0.08596268206106827,-0.08511161922831112,-0.07815062605521517
2025-04-23,-0.00030236201982047906,-0.034940758548798634,-0.033976891025589984,-0.011333320377683864,-0.009220182675638289,-0.054665970318221846,-0.07421128528617127,-0.07473574164565455,-0.07198267878889197
2025-04-24,-0.0027978485053504754,-0.03648213614667484,-0.0363897909085914,-0.015158461401646006,-0.011661414830610561,-0.05678140344926552,-0.0761921731373505,-0.07649103571409865,-0.07512006972112306
2025-04-25,-0.00921331785594115,-0.04792692845713431,-0.04854775794289201,-0.02318566969354674,-0.024477403453681323,-0.06470818062064432,-0.08475506295898261,-0.08500479758003521,-0.08302933153577041
2025-04-28,-0.005814354284035317,-0.04572716863716286,-0.04344863463583737,-0.018685297057056127,-0.01949004186160086,-0.0564089374697484,-0.07370548483845729,-0.07441669572334109,-0.07199981404521838
2025-04-29,-0.006572520263313675,-0.042435938177648125,-0.0437743546035928,-0.01928879282462226,-0.01985678183637596,-0.05714023915166255,-0.07509886066198868,-0.07559483360452712,-0.07171566679465957
2025-04-30,-0.006323545876820935,-0.052185633117310726,-0.04821713523623228,-0.0202649773309459,-0.024605969200420352,-0.057576577457356115,-0.07571833002403017,-0.0762399423081419,-0.07178241979321776
2025-05-02,-0.013422472485924875,-0.056949509374358054,-0.05396015929082354,-0.026490390142505205,-0.030275329486467273,-0.06306752852458108,-0.08020632264158334,-0.08045532832206637,-0.07130561266065982
2025-05-05,-0.005412420963192721,-0.03136095362226854,-0.0372123373330554,-0.014789971050959472,-0.012589309945331029,-0.05441504738887715,-0.07235491742942379,-0.07198882068899604,-0.0669399218542911
2025-05-06,0.0,-0.04257884427680658,-0.03697149844705838,-0.009917599351771389,-0.01270661358091929,-0.054460475981937484,-0.0768458811671131,-0.07635172539393031,-0.07005064138754458
2025-05-07,-0.0044943980781325665,-0.035586067361561335,-0.03418883288786745,-0.012877378089496072,-0.00934503301389955,-0.054270664359626464,-0.07460842096227704,-0.07460543811067122,-0.06872318053005755
2025-05-08,-0.01014473694954865,-0.05141313180992291,-0.045026275659973636,-0.020502728739394516,-0.02076062708936366,-0.0626376770594631,-0.08403146913618975,-0.08382480907992262,-0.07408629225684593
2025-05-09,-0.015781813679870527,-0.05454933318248556,-0.05234663925910754,-0.02882519333384448,-0.02801283948889033,-0.0635154823170696,-0.08271948884215663,-0.08394342926797194,-0.08422514892400279
2025-05-12,-0.002217581348680109,-0.016882417489116786,-0.03517424771774946,-0.01716495323275613,-0.009188251550282356,-0.03978858695901366,-0.05302360789018834,-0.05536113846851354,-0.04925805085118273
2025-05-13,-0.005182352148266123,-0.02157996789739236,-0.038025946007546385,-0.019532638348352394,-0.012334294772623267,-0.042993061545807065,-0.056781363992388645,-0.05899557822710144,-0.0624694079798741
2025-05-14,-0.004171649397835209,-0.027303077076575866,-0.042133603935813224,-0.02098536216105229,-0.016796523246131345,-0.04044918190671576,-0.05260915952789791,-0.05588935721926502,-0.05909167645238811
2025-05-15,0.0,-0.02827540235817494,-0.041870102281489796,-0.017643220070605037,-0.017004965972433284,-0.03265064042441035,-0.042890375852361884,-0.0469904424063885,-0.04401697194988341
2025-05-16,0.0,-0.02489391639043148,-0.03848233624696962,-0.014838610402523433,-0.013364099938268703,-0.031260079773076876,-0.04239642415292333,-0.04642074757045578,-0.04563044258579063
2025-05-19,-0.0002982162141643707,-0.02846184365389559,-0.040704285166544674,-0.015678423789434515,-0.015699030015314586,-0.03339157834389195,-0.045253473127590316,-0.04917428429721915,-0.048466551011136616
2025-05-20,-0.009468012512622748,-0.04168393491231481,-0.05155088697591337,-0.02497652593028654,-0.026867366031827822,-0.04482075077751946,-0.057252214647620314,-0.0610351420597286,-0.05844321875210934
2025-05-21,-0.0008167379852238588,-0.03470278794795889,-0.04255547194183362,-0.015641316332613453,-0.017789025800440728,-0.03784610943653122,-0.05143777542971506,-0.05491626110398273,-0.05350163433094801
2025-05-22,-0.0067469024851385395,-0.04074510443391499,-0.0472578341477492,-0.020550888657129618,-0.022612639176161076,-0.04534216633909216,-0.059631317514312165,-0.06286817394536137,-0.061273590591641725
2025-05-23,-0.00040206705981093993,-0.03561758426658346,-0.04502639556884802,-0.017507968593959644,-0.019965239727835815,-0.03845388999652932,-0.05215737502826312,-0.055820910465748885,-0.05198725017727546
